"Nr.";"Uþsakymas(-ai)";"Sàskaitos Nr.";"Mokëtojas / kam iðraðyta";"Apmokëjimøsuma";"Uþsakovas(-ai)";"Iðraðymodata";"Atidejimas";"Apmokëtiiki";"Vëlavimas";"Sumasu PVM";"Valiuta";"SumaEUR";"Suma be PVMEUR";"Apmoketaiðvisosàskaitosvaliuta";"Likoapmokëtisàskaitosvaliuta";"Apmokëtaviso eur";"Likoapmokëtieurais";"Apmokëjimøinfo"
"84";"2024-171";"LOG0005235";"UAB Continexus";;"UAB Continexus";"2024-03-21";"60";"2024-05-20";" ";"242";"EUR";"242";"200";"242";"0";"242";"0";"242 EUR 2024-05-27 "
"85";"2024-326";"LOG0005382";;;"UAB Continexus";"2024-06-07";"60";"2024-08-06";" ";"508,2";"EUR";"508,2";"420";"508,2";"0";"508,2";"0";"508.2 EUR 2024-08-08 "
"86";"2024-391";"LOG0005439";;;"UAB Continexus";"2024-06-28";"60";"2024-08-27";" ";"568,7";"EUR";"568,7";"470";"568,7";"0";"568,7";"0";"568.7 EUR 2024-09-20 sudengta"
"87";"2024-452";"LOG0005496";;;"UAB Continexus";"2024-07-24";"60";"2024-09-22";" ";"338,8";"EUR";"338,8";"280";"338,8";"0";"338,8";"0";"338.8 EUR 2024-09-20 sudengta"
"88";"2024-151";"LOG0005207";;;"UAB Continexus";"2024-03-14";"60";"2024-05-13";" ";"266,2";"EUR";"266,2";"220";"266,2";"0";"266,2";"0";"266.2 EUR 2024-05-14 "
"89";"2024-760";"LOG0005805";;;"UAB Continexus";"2024-12-09";"60";"2025-02-07";" ";"290,4";"EUR";"290,4";"240";"290,4";"0";"290,4";"0";"290.4 EUR 2025-03-06 "
"90";"2024-488";"LOG0005532";;;"UAB Continexus";"2024-08-02";"60";"2024-10-01";" ";"151,25";"EUR";"151,25";"125";"151,25";"0";"151,25";"0";"151.25 EUR 2024-09-20 sudengta"
"91";"2024-734";"LOG0005775";;;"UAB Continexus";"2024-11-27";"60";"2025-01-26";" ";"447,7";"EUR";"447,7";"370";"447,7";"0";"447,7";"0";"447.7 EUR 2025-03-06 "
"92";"2024-534";"LOG0005576";;;"UAB Continexus";"2024-09-04";"60";"2024-11-03";" ";"435,6";"EUR";"435,6";"360";"435,6";"0";"435,6";"0";"435.6 EUR 2024-09-20 sudengta"
"93";"2024-733";"LOG0005774";;;"UAB Continexus";"2024-11-27";"60";"2025-01-26";" ";"387,2";"EUR";"387,2";"320";"387,2";"0";"387,2";"0";"387.2 EUR 2025-03-06 "
"VISO:";"";"";"";"";"";"";"";"";"";"3636.05";"";"3636.05";"3005";"3636.05";"0";"3636.05";"0";""
"94";"2024-548";"LOG0005587";"UAB Donatra";;"UAB Donatra";"2024-09-11";"45";"2024-10-26";" ";"302,5";"EUR";"302,5";"250";"302,5";"0";"302,5";"0";"302.5 EUR 2024-10-16 "
"95";"2025-038";"LOG0005854";"UAB Stesika";;"UAB Stesika";"2025-03-06";"30";"2025-04-05";" ";"417,45";"EUR";"417,45";"345";"417,45";"0";"417,45";"0";"417.45 EUR 2025-04-02 "
"96";"2025-162";"LOG0005932";;;"UAB Stesika";"2025-10-31";"30";"2025-11-30";"Liko 17d.";"726";"EUR";"726";"600";;"726";;"726";
"97";"2024-092";"LOG0005151";;;"UAB Stesika";"2024-02-19";"30";"2024-03-20";" ";"544,5";"EUR";"544,5";"450";"544,5";"0";"544,5";"0";"544.5 EUR 2024-03-18 "
"98";"2025-169";"LOG0005938";;;"UAB Stesika";"2025-11-12";"30";"2025-12-12";"Liko 29d.";"750,2";"EUR";"750,2";"620";;"750,2";;"750,2";
"99";"2025-021";"LOG0005842";;;"UAB Stesika";"2025-02-11";"30";"2025-03-13";" ";"907,5";"EUR";"907,5";"750";"907,5";"0";"907,5";"0";"907.5 EUR 2025-03-12 "
"100";"2024-403";"LOG0005485";;;"UAB Stesika";"2024-07-15";"30";"2024-08-14";" ";"471,9";"EUR";"471,9";"390";"471,9";"0";"471,9";"0";"471.9 EUR 2024-08-12 "
"101";"2024-290";"LOG0005348";;;"UAB Stesika";"2024-05-21";"30";"2024-06-20";" ";"883,3";"EUR";"883,3";"730";"883,3";"0";"883,3";"0";"883.3 EUR 2024-06-17 "
"102";"2024-727";"LOG0005799";;;"UAB Stesika";"2024-12-05";"30";"2025-01-04";" ";"665,5";"EUR";"665,5";"550";"665,5";"0";"665,5";"0";"665.5 EUR 2025-01-03 "
"103";"2024-583";"LOG0005642";;;"UAB Stesika";"2024-09-30";"30";"2024-10-30";" ";"713,9";"EUR";"713,9";"590";"713,9";"0";"713,9";"0";"713.9 EUR 2024-10-22 "
"104";"2025-1432025-144";"LOG0005922";;;"UAB StesikaUAB Stesika";"2025-09-10";"30";"2025-10-10";"34d.";"1318,9";"EUR";"1318,9";"1090";;"1318,9";;"1318,9";
"105";"2024-699";"LOG0005744";;;"UAB Stesika";"2024-11-13";"30";"2024-12-13";" ";"326,7";"EUR";"326,7";"270";"326,7";"0";"326,7";"0";"326.7 EUR 2024-12-10 "
"106";"2024-270";"LOG0005347";;;"UAB Stesika";"2024-05-21";"30";"2024-06-20";" ";"484";"EUR";"484";"400";"484";"0";"484";"0";"484 EUR 2024-06-17 "
